Dptr Hour,Length of Flight (Hrs),Day of Week,Passengers Boarded,Passengers Booked 2 DtD,Stock Out Occurred,Cheese Platters Sold
14,4,Thursday,140,137,1,17
19,6,Tuesday,163,153,0,23
19,2,Saturday,165,160,0,20
6,6,Saturday,161,161,0,16
18,3,Friday,118,112,0,16
17,6,Saturday,146,140,0,19
6,3,Saturday,95,91,0,9
11,4,Thursday,164,163,1,20
16,5,Saturday,76,75,0,10
14,2,Monday,144,144,0,19
6,3,Thursday,109,111,0,12
17,3,Saturday,165,165,1,19
21,1,Saturday,165,158,0,15
14,3,Friday,128,116,0,17
11,2,Thursday,141,130,0,19
4,4,Friday,165,167,0,17
9,3,Thursday,144,144,0,20
11,4,Wednesday,131,126,0,19
2,4,Saturday,120,113,0,12
19,6,Saturday,107,98,0,14
20,6,Thursday,140,136,0,15
14,2,Tuesday,137,136,0,19
13,4,Wednesday,165,151,0,23
5,6,Sunday,121,119,0,13
13,6,Thursday,154,145,1,19
11,4,Sunday,148,138,0,19
16,2,Saturday,142,137,0,17
15,4,Friday,148,137,0,20
6,6,Saturday,89,90,0,9
15,4,Wednesday,69,67,0,10
20,1,Tuesday,149,146,0,16
15,6,Friday,164,153,1,18
23,6,Sunday,111,110,0,10
10,5,Saturday,127,128,0,16
14,5,Sunday,125,120,0,16
13,2,Tuesday,143,136,0,19
10,1,Monday,137,124,1,15
15,4,Wednesday,127,121,0,17
2,4,Monday,114,108,0,13
10,5,Saturday,159,147,0,20
10,6,Thursday,155,150,1,18
6,2,Monday,109,109,0,11
13,2,Monday,124,124,0,17
13,2,Friday,134,122,0,18
14,3,Thursday,151,149,1,18
10,5,Monday,134,133,1,17
10,6,Monday,128,129,1,15
7,6,Sunday,147,147,0,14
20,4,Tuesday,165,151,0,17
10,1,Sunday,165,154,1,20
15,1,Monday,123,113,0,17
12,1,Sunday,165,164,0,19
7,4,Tuesday,108,101,0,12
11,4,Saturday,97,96,0,12
4,6,Tuesday,143,129,0,16
19,4,Friday,90,89,0,12
16,5,Monday,165,162,1,19
10,2,Friday,156,157,0,20
10,1,Saturday,149,147,0,17
14,4,Saturday,149,141,1,15
19,5,Wednesday,124,124,0,18
9,1,Tuesday,88,85,0,11
16,3,Friday,124,113,0,17
9,6,Wednesday,128,120,0,18
11,4,Saturday,104,103,0,13
16,2,Tuesday,83,76,0,11
